sourceTaxonId	sourceTaxonName	sourceTaxonPartaffected	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	StudySourceCitation	referenceCitation
EOL:1149380	Betula nigra	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:1172469	Altica subcostata							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	LeSage, L. 1995. Revision of the costate species of Altica Müller of North America North of Mexico (Coleoptera: Chrysomelidae). Can. Entomol. 127:295-411.
EOL:1149380	Betula nigra	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:10768648	Rhynchaenus betuleti							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Anderson, R. S. 1989. Revision of the subfamily Rhynchaeninae in North America (Coleoptera: Curculionidae). Transactions of the American Entomological Society 115:207-312.
EOL:1149370	Betula occidentalis	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:1172469	Altica subcostata							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	LeSage, L. 1995. Revision of the costate species of Altica Müller of North America North of Mexico (Coleoptera: Chrysomelidae). Can. Entomol. 127:295-411.
EOL:597015	Brasenia schreberi	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:669467	Bagous cavifrons							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	O’Brien, C. W. and G. B. Marshall. 1979. U.S. Bagous, bionomic notes, a new species, and a new name (Bagoini, Erirhininae, Curculionidae, Coleoptera). Southwest. Entomol. 4:141-149.
EOL:597015	Brasenia schreberi	http://purl.obolibrary.org/obo/PO_0009005	RO:0002471	eaten by	EOL:1027010	Donacia cincticornis							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Packard, A. S. 1884. Habits of an aquatic pyralid caterpillar. Am. Nat. 8:824- 829.
EOL:597015	Brasenia schreberi	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:1027010	Donacia cincticornis							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Packard, A. S. 1884. Habits of an aquatic pyralid caterpillar. Am. Nat. 8:824- 829.
EOL:597015	Brasenia schreberi	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:1173153	Galerucella nymphaea							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Center, T. D., F. A. Dray, G. P. Jubinsky and M. J. Grodowitz. 1999. Insects and other arthropods that feed on aquatic and wetland plants. U.S. Department of Agriculture, Agricultural Research Service, Technical Bulletin No. 1870.
EOL:597015	Brasenia schreberi		RO:0002471	eaten by	EOL:2684826	Munroessa gyralis	GEONAMES:4597040	South Carolina, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Herlong, D. D. 1979. Aquatic Pyralidae (Lepidoptera: Nymphulinae) in South Carolina. Fla. Entomol. 62(3):188-193.
EOL:597015	Brasenia schreberi		RO:0002471	eaten by	EOL:2684822	Munroessa icciusalis	GEONAMES:4597040	South Carolina, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Herlong, D. D. 1979. Aquatic Pyralidae (Lepidoptera: Nymphulinae) in South Carolina. Fla. Entomol. 62(3):188-193.
EOL:597015	Brasenia schreberi		RO:0002471	eaten by	EOL:2684800	Paraponyx allionealis	GEONAMES:4597040	South Carolina, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Stoops, C. A., P. H. Adler and J. W. McCreadie. 1998. Ecology of aquatic Lepidoptera (Crambidae: Nymphulinae) in South Carolina, USA. Hydrobiologia 379:33-40.
EOL:597015	Brasenia schreberi	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by		Paraponyx icciusalis	GEONAMES:5001836	Michigan, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	McGaha, Y. J. 1952. The limnological relations of insects to certain aquatic flowering plants. Trans. Am. Microsc. Soc. 71:355-381.
